first_name,last_name,email,phone,address,age,gender,parental_status,birthdate,date_of_last_visit,visits_last_12_months,membership_type,member
Marcus,Wellington,m.wellington@gmail.com,555-701-1001,"234 Oak Ridge Dr, Columbia, MD 21044",48,Male,Parent,1976-05-22,2024-11-25,44,,no
Sophia,Chen,sophia.chen@yahoo.com,555-702-1002,"567 Maple Ln, Columbia, MD 21045",42,Female,Parent,1982-09-14,2024-12-01,52,,no
Derek,Thornton,d.thornton@outlook.com,555-703-1003,"890 Fairway Blvd, Columbia, MD 21046",55,Male,Parent,1969-03-08,2024-11-20,38,,no
Vanessa,Kim,v.kim@gmail.com,555-704-1004,"123 Country Club Rd, Columbia, MD 21044",37,Female,Parent,1987-11-27,2024-12-03,56,,no
Brandon,Ortiz,b.ortiz@email.com,555-705-1005,"456 Market St, Baltimore, MD 21201",29,Male,Non-Parent,1995-07-15,2024-10-05,8,,no
Christina,Alvarez,c.alvarez@hotmail.com,555-706-1006,"789 Georgia Ave, Silver Spring, MD 20901",23,Female,Non-Parent,2001-02-19,2024-08-12,3,,no
Maxwell,Reid,m.reid@gmail.com,555-707-1007,"1012 Sunset Terrace, Columbia, MD 21045",51,Male,Parent,1973-06-30,2024-11-28,42,,no
Lindsay,Patel,l.patel@yahoo.com,555-708-1008,"345 Pine Valley Ct, Columbia, MD 21046",44,Female,Parent,1980-01-11,2024-12-02,48,,no
Troy,Washington,t.washington@outlook.com,555-709-1009,"678 Main St, Frederick, MD 21701",21,Male,Non-Parent,2003-04-25,2024-07-18,2,,no
Amber,Johansson,a.johansson@gmail.com,555-710-1010,"901 Magnolia St, Columbia, MD 21044",36,Female,Parent,1988-08-06,2024-12-04,54,,no
Chad,McNamara,c.mcnamara@email.com,555-711-1011,"1234 Ritchie Hwy, Glen Burnie, MD 21060",26,Male,Non-Parent,1998-12-13,2024-09-22,5,,no
Brittany,Reeves,b.reeves@hotmail.com,555-712-1012,"567 West St, Annapolis, MD 21401",19,Female,Non-Parent,2005-05-30,2024-06-10,1,,no
Grant,Sullivan,g.sullivan@gmail.com,555-713-1013,"890 Spruce Meadow Ln, Ellicott City, MD 21042",53,Male,Parent,1971-10-17,2024-11-22,40,,no
Heidi,Torres,h.torres@yahoo.com,555-714-1014,"123 Valley View Rd, Columbia, MD 21045",45,Female,Parent,1979-03-24,2024-12-01,46,,no
Xavier,Brooks,x.brooks@outlook.com,555-715-1015,"456 York Rd, Towson, MD 21204",20,Male,Non-Parent,2004-08-09,2024-07-30,2,,no
Courtney,Hoffman,c.hoffman@gmail.com,555-716-1016,"789 Brookside Way, Columbia, MD 21046",39,Female,Parent,1985-12-05,2024-12-05,50,,no
Austin,Nakamura,a.nakamura@email.com,555-717-1017,"1012 Summit Ave, Columbia, MD 21044",32,Male,Parent,1992-06-18,2024-11-30,46,,no
