first_name,last_name,email,phone,address,age,gender,parental_status,birthdate,date_of_last_visit,visits_last_12_months,membership_type,member
James,Whitfield,james.whitfield@gmail.com,555-201-3344,"142 Oak Ridge Dr, Columbia, MD 21044",52,Male,Parent,1972-03-14,2024-11-28,48,Golf & Play,yes
Sandra,Mitchell,sandra.m@yahoo.com,555-302-4455,"88 Maple Ln, Columbia, MD 21045",47,Female,Parent,1977-06-21,2024-12-01,52,Golf & Play,yes
Robert,Chen,robert.chen@outlook.com,555-403-5566,"2201 Fairway Blvd, Columbia, MD 21046",61,Male,Parent,1963-01-09,2024-11-15,44,Golf,yes
Patricia,Donovan,pat.donovan@gmail.com,555-504-6677,"310 Country Club Rd, Ellicott City, MD 21042",55,Female,Non-Parent,1969-08-30,2024-12-03,38,Golf,yes
Michael,Harrington,m.harrington@email.com,555-605-7788,"17 Birch Creek Way, Columbia, MD 21044",44,Male,Parent,1980-04-18,2024-11-22,56,Golf & Play,yes
Jennifer,Okafor,jen.okafor@gmail.com,555-706-8899,"503 Willow Park Ave, Columbia, MD 21045",39,Female,Parent,1985-11-05,2024-12-02,60,Fit & Play,yes
David,Morales,d.morales@hotmail.com,555-807-9900,"89 Sunset Terrace, Columbia, MD 21046",36,Male,Parent,1988-07-22,2024-11-30,42,Fit & Play,yes
Elizabeth,Strauss,e.strauss@yahoo.com,555-908-0011,"1455 Pine Valley Ct, Columbia, MD 21044",50,Female,Parent,1974-02-14,2024-12-04,46,Golf & Play,yes
William,Tanaka,w.tanaka@gmail.com,555-109-1122,"672 Lakeshore Dr, Elkridge, MD 21075",58,Male,Non-Parent,1966-09-03,2024-11-18,32,Golf,yes
Sarah,Blackwell,s.blackwell@outlook.com,555-210-2233,"1001 Magnolia St, Columbia, MD 21045",42,Female,Parent,1982-12-28,2024-12-01,50,Fit & Play,yes
Thomas,Fitzgerald,t.fitz@gmail.com,555-311-3344,"234 Elm Court, Columbia, MD 21044",48,Male,Parent,1976-05-11,2024-11-25,44,Golf & Play,yes
Amanda,Rivera,a.rivera@yahoo.com,555-412-4455,"567 Cedar Heights, Columbia, MD 21046",35,Female,Parent,1989-03-19,2024-12-05,58,Fit & Play,yes
Christopher,Walsh,c.walsh@email.com,555-513-5566,"890 Spruce Meadow Ln, Laurel, MD 20707",63,Male,Non-Parent,1961-10-07,2024-11-12,28,Golf,yes
Michelle,Johansson,m.johansson@gmail.com,555-614-6677,"123 Valley View Rd, Columbia, MD 21045",41,Female,Parent,1983-08-24,2024-12-02,54,Fit & Play,yes
Daniel,Oconnor,d.oconnor@hotmail.com,555-715-7788,"456 Rolling Hills Dr, Columbia, MD 21044",53,Male,Parent,1971-01-16,2024-11-29,40,Golf,yes
Laura,Kim,laura.kim@outlook.com,555-816-8899,"789 Brookside Way, Columbia, MD 21046",38,Female,Parent,1986-06-08,2024-12-03,48,Fit & Play,yes
Richard,Gonzalez,r.gonzalez@gmail.com,555-917-9900,"1012 Summit Ave, Clarksville, MD 21029",57,Male,Parent,1967-04-25,2024-11-20,36,Golf & Play,yes
Karen,Bennett,k.bennett@yahoo.com,555-118-0011,"345 Orchard Park, Columbia, MD 21044",46,Female,Parent,1978-11-13,2024-12-01,52,Golf & Play,yes
Joseph,Nakamura,j.nakamura@email.com,555-219-1122,"678 Riverside Ct, Columbia, MD 21045",40,Male,Parent,1984-09-01,2024-11-27,46,Fit & Play,yes
Stephanie,Phillips,s.phillips@gmail.com,555-320-2233,"901 Hilltop Ln, Columbia, MD 21046",33,Female,Parent,1991-02-20,2024-12-04,62,Play,yes
Brian,Sullivan,b.sullivan@outlook.com,555-421-3344,"1234 Creekwood Dr, Catonsville, MD 21228",59,Male,Non-Parent,1965-07-14,2024-11-16,30,Golf,yes
Angela,Torres,a.torres@yahoo.com,555-522-4455,"567 Meadowlark St, Columbia, MD 21044",37,Female,Parent,1987-12-06,2024-12-02,56,Fit & Play,yes
Kevin,Patel,k.patel@gmail.com,555-623-5566,"890 Parkview Rd, Columbia, MD 21045",45,Male,Parent,1979-03-29,2024-11-24,42,Golf & Play,yes
Nicole,Andersen,n.andersen@hotmail.com,555-724-6677,"123 Foxglove Way, Columbia, MD 21046",51,Female,Parent,1973-10-17,2024-12-05,38,Golf,yes
Jason,Reeves,j.reeves@email.com,555-825-7788,"456 Stonegate Blvd, Columbia, MD 21044",34,Male,Parent,1990-05-23,2024-11-30,50,Fit & Play,yes
Rebecca,Hoffman,r.hoffman@gmail.com,555-926-8899,"789 Timber Ridge Ave, Columbia, MD 21045",43,Female,Parent,1981-08-11,2024-12-03,48,Golf & Play,yes
Mark,Iwamoto,m.iwamoto@yahoo.com,555-127-9900,"1012 Aspen Ct, Savage, MD 20763",56,Male,Non-Parent,1968-01-04,2024-11-19,34,Golf,yes
Lisa,Carmichael,l.carmichael@outlook.com,555-228-0011,"345 Cherry Blossom Ln, Columbia, MD 21044",49,Female,Parent,1975-06-27,2024-12-01,44,Golf & Play,yes
Andrew,Nguyen,a.nguyen@gmail.com,555-329-1122,"678 Whispering Pines, Columbia, MD 21046",38,Male,Parent,1986-11-15,2024-11-26,52,Fit & Play,yes
Megan,Callahan,m.callahan@email.com,555-430-2233,"901 Grandview Dr, Columbia, MD 21045",31,Female,Parent,1993-04-09,2024-12-04,64,Play,yes
Steven,Brooks,s.brooks@hotmail.com,555-531-3344,"1234 Sycamore St, Severn, MD 21144",62,Male,Parent,1962-08-21,2024-11-14,26,Golf,yes
Rachel,Dimitriou,r.dimitriou@yahoo.com,555-632-4455,"567 Laurel Heights, Columbia, MD 21044",44,Female,Parent,1980-02-03,2024-12-02,46,Golf & Play,yes
Gregory,Foster,g.foster@gmail.com,555-733-5566,"890 Windmill Rd, Columbia, MD 21046",50,Male,Parent,1974-09-18,2024-11-23,40,Golf,yes
Heather,Jackson,h.jackson@outlook.com,555-834-6677,"123 Primrose Path, Columbia, MD 21045",36,Female,Parent,1988-05-30,2024-12-05,54,Fit & Play,yes
Eric,Lindstrom,e.lindstrom@email.com,555-935-7788,"456 Blue Heron Way, Glen Burnie, MD 21060",54,Male,Non-Parent,1970-12-12,2024-11-17,32,Golf,yes
Amy,Martinez,a.martinez@gmail.com,555-136-8899,"789 Cottonwood Ave, Columbia, MD 21044",40,Female,Parent,1984-07-06,2024-12-03,50,Fit & Play,yes
Peter,Chang,p.chang@yahoo.com,555-237-9900,"1012 Ridgewood Ct, Columbia, MD 21046",47,Male,Parent,1977-03-24,2024-11-28,44,Golf & Play,yes
Christine,Murphy,c.murphy@hotmail.com,555-338-0011,"345 Hawthorn Ln, Columbia, MD 21045",52,Female,Parent,1972-10-09,2024-12-01,42,Golf,yes
Ryan,Abernathy,r.abernathy@gmail.com,555-439-1122,"678 Sunflower St, Columbia, MD 21044",35,Male,Parent,1989-06-17,2024-11-30,56,Fit & Play,yes
Victoria,Choi,v.choi@outlook.com,555-540-2233,"901 Dogwood Dr, Columbia, MD 21046",29,Female,Parent,1995-01-25,2024-12-04,66,Play,yes
Dennis,Kowalski,d.kowalski@email.com,555-641-3344,"1234 Juniper Rd, Jessup, MD 20794",60,Male,Non-Parent,1964-04-08,2024-11-13,24,Golf,yes
Julia,Thornton,j.thornton@yahoo.com,555-742-4455,"567 Lavender Way, Columbia, MD 21044",43,Female,Parent,1981-11-21,2024-12-02,48,Golf & Play,yes
Kenneth,Yamamoto,k.yamamoto@gmail.com,555-843-5566,"890 Poplar Ave, Columbia, MD 21045",46,Male,Parent,1978-08-14,2024-11-25,42,Golf & Play,yes
Natalie,Graham,n.graham@hotmail.com,555-944-6677,"123 Mulberry Ct, Columbia, MD 21046",37,Female,Parent,1987-03-02,2024-12-05,58,Fit & Play,yes
Charles,Brennan,c.brennan@outlook.com,555-145-7788,"456 Birchwood Blvd, Columbia, MD 21044",55,Male,Parent,1969-09-26,2024-11-21,36,Golf,yes
Diana,Vasquez,d.vasquez@gmail.com,555-246-8899,"789 Marigold Ln, Columbia, MD 21045",41,Female,Parent,1983-05-13,2024-12-03,52,Fit & Play,yes
Frank,Olsen,f.olsen@yahoo.com,555-347-9900,"1012 Hemlock St, Odenton, MD 21113",64,Male,Non-Parent,1960-12-30,2024-11-10,22,Golf,yes
Samantha,Wells,s.wells@email.com,555-448-0011,"345 Daisy Chain Dr, Columbia, MD 21046",48,Female,Parent,1976-07-19,2024-12-01,46,Golf & Play,yes
Timothy,Russo,t.russo@gmail.com,555-549-1122,"678 Acacia Way, Columbia, MD 21044",39,Male,Parent,1985-02-07,2024-11-29,50,Fit & Play,yes
Brenda,Sinclair,b.sinclair@hotmail.com,555-650-2233,"901 Magnolia Ct, Columbia, MD 21045",32,Female,Parent,1992-10-14,2024-12-04,60,Play,yes
George,Ibrahim,g.ibrahim@outlook.com,555-751-3344,"1234 Chestnut Ave, Columbia, MD 21046",57,Male,Parent,1967-06-03,2024-11-18,34,Golf & Play,yes
Teresa,Hopkins,t.hopkins@yahoo.com,555-852-4455,"567 Ivy Garden Rd, Columbia, MD 21044",45,Female,Parent,1979-01-22,2024-12-02,44,Golf & Play,yes
Ronald,Fischer,r.fischer@gmail.com,555-953-5566,"890 Olive Branch Ln, Ellicott City, MD 21043",51,Male,Non-Parent,1973-08-10,2024-11-22,30,Golf,yes
Catherine,Morris,c.morris@email.com,555-154-6677,"123 Peony Place, Columbia, MD 21045",38,Female,Parent,1986-04-28,2024-12-05,54,Fit & Play,yes
Keith,Andrade,k.andrade@hotmail.com,555-255-7788,"456 Wisteria Blvd, Columbia, MD 21046",42,Male,Parent,1982-11-06,2024-11-27,46,Golf & Play,yes
Donna,Price,d.price@yahoo.com,555-356-8899,"789 Jasmine Way, Columbia, MD 21044",53,Female,Parent,1971-07-15,2024-12-03,40,Golf,yes
Scott,Lee,s.lee@gmail.com,555-457-9900,"1012 Tulip Ct, Columbia, MD 21045",36,Male,Parent,1988-02-23,2024-11-30,52,Fit & Play,yes
Pamela,Wright,p.wright@outlook.com,555-558-0011,"345 Azalea Dr, Columbia, MD 21046",47,Female,Parent,1977-09-09,2024-12-01,48,Golf & Play,yes
Jeffrey,Baxter,j.baxter@email.com,555-659-1122,"678 Rosemary Ln, Hanover, MD 21076",60,Male,Non-Parent,1964-03-17,2024-11-15,28,Golf,yes
